Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2016,1,Ciutat Vella,1,el Raval,Home,Espanyola,0-4 anys,431
2016,1,Ciutat Vella,2,el Barri Gòtic,Home,Espanyola,0-4 anys,137
2016,1,Ciutat Vella,3,la Barceloneta,Home,Espanyola,0-4 anys,162
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,Espanyola,0-4 anys,254
2016,2,Eixample,5,el Fort Pienc,Home,Espanyola,0-4 anys,517
2016,2,Eixample,6,la Sagrada Família,Home,Espanyola,0-4 anys,805
2016,2,Eixample,7,la Dreta de l'Eixample,Home,Espanyola,0-4 anys,777
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Home,Espanyola,0-4 anys,713
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Home,Espanyola,0-4 anys,898
2016,2,Eixample,10,Sant Antoni,Home,Espanyola,0-4 anys,604
2016,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,Home,Espanyola,0-4 anys,567
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,Home,Espanyola,0-4 anys,23
2016,3,Sants-Montjuïc,13,la Marina de Port,Home,Espanyola,0-4 anys,543
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Home,Espanyola,0-4 anys,132
2016,3,Sants-Montjuïc,15,Hostafrancs,Home,Espanyola,0-4 anys,259
2016,3,Sants-Montjuïc,16,la Bordeta,Home,Espanyola,0-4 anys,318
2016,3,Sants-Montjuïc,17,Sants - Badal,Home,Espanyola,0-4 anys,345
2016,3,Sants-Montjuïc,18,Sants,Home,Espanyola,0-4 anys,713
2016,4,Les Corts,19,les Corts,Home,Espanyola,0-4 anys,861
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Home,Espanyola,0-4 anys,474
2016,4,Les Corts,21,Pedralbes,Home,Espanyola,0-4 anys,195
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Home,Espanyola,0-4 anys,134
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Home,Espanyola,0-4 anys,660
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Home,Espanyola,0-4 anys,417
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Home,Espanyola,0-4 anys,597
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Home,Espanyola,0-4 anys,901
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Home,Espanyola,0-4 anys,590
2016,6,Gràcia,28,Vallcarca i els Penitents,Home,Espanyola,0-4 anys,322
2016,6,Gràcia,29,el Coll,Home,Espanyola,0-4 anys,143
2016,6,Gràcia,30,la Salut,Home,Espanyola,0-4 anys,249
2016,6,Gràcia,31,la Vila de Gràcia,Home,Espanyola,0-4 anys,997
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Home,Espanyola,0-4 anys,608
2016,7,Horta-Guinardó,33,el Baix Guinardó,Home,Espanyola,0-4 anys,405
2016,7,Horta-Guinardó,34,Can Baró,Home,Espanyola,0-4 anys,123
2016,7,Horta-Guinardó,35,el Guinardó,Home,Espanyola,0-4 anys,688
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Home,Espanyola,0-4 anys,183
2016,7,Horta-Guinardó,37,el Carmel,Home,Espanyola,0-4 anys,546
2016,7,Horta-Guinardó,38,la Teixonera,Home,Espanyola,0-4 anys,180
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Home,Espanyola,0-4 anys,101
2016,7,Horta-Guinardó,40,Montbau,Home,Espanyola,0-4 anys,72
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Home,Espanyola,0-4 anys,103
2016,7,Horta-Guinardó,42,la Clota,Home,Espanyola,0-4 anys,26
2016,7,Horta-Guinardó,43,Horta,Home,Espanyola,0-4 anys,476
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Home,Espanyola,0-4 anys,431
2016,8,Nou Barris,45,Porta,Home,Espanyola,0-4 anys,413
2016,8,Nou Barris,46,el Turó de la Peira,Home,Espanyola,0-4 anys,245
2016,8,Nou Barris,47,Can Peguera,Home,Espanyola,0-4 anys,39
2016,8,Nou Barris,48,la Guineueta,Home,Espanyola,0-4 anys,272
2016,8,Nou Barris,49,Canyelles,Home,Espanyola,0-4 anys,122
2016,8,Nou Barris,50,les Roquetes,Home,Espanyola,0-4 anys,253
2016,8,Nou Barris,51,Verdun,Home,Espanyola,0-4 anys,173
