Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2018,1,Ciutat Vella,1,el Raval,Home,Espanyola,0-4 anys,436
2018,1,Ciutat Vella,2,el Barri Gòtic,Home,Espanyola,0-4 anys,117
2018,1,Ciutat Vella,3,la Barceloneta,Home,Espanyola,0-4 anys,143
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,Espanyola,0-4 anys,247
2018,2,Eixample,5,el Fort Pienc,Home,Espanyola,0-4 anys,464
2018,2,Eixample,6,la Sagrada Família,Home,Espanyola,0-4 anys,732
2018,2,Eixample,7,la Dreta de l'Eixample,Home,Espanyola,0-4 anys,744
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Home,Espanyola,0-4 anys,691
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,Home,Espanyola,0-4 anys,905
2018,2,Eixample,10,Sant Antoni,Home,Espanyola,0-4 anys,584
2018,3,Sants-Montjuïc,11,el Poble Sec,Home,Espanyola,0-4 anys,532
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Home,Espanyola,0-4 anys,32
2018,3,Sants-Montjuïc,13,la Marina de Port,Home,Espanyola,0-4 anys,473
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,Home,Espanyola,0-4 anys,144
2018,3,Sants-Montjuïc,15,Hostafrancs,Home,Espanyola,0-4 anys,258
2018,3,Sants-Montjuïc,16,la Bordeta,Home,Espanyola,0-4 anys,335
2018,3,Sants-Montjuïc,17,Sants - Badal,Home,Espanyola,0-4 anys,360
2018,3,Sants-Montjuïc,18,Sants,Home,Espanyola,0-4 anys,708
2018,4,Les Corts,19,les Corts,Home,Espanyola,0-4 anys,855
2018,4,Les Corts,20,la Maternitat i Sant Ramon,Home,Espanyola,0-4 anys,447
2018,4,Les Corts,21,Pedralbes,Home,Espanyola,0-4 anys,174
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Home,Espanyola,0-4 anys,125
2018,5,Sarrià-Sant Gervasi,23,Sarrià,Home,Espanyola,0-4 anys,603
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,Home,Espanyola,0-4 anys,395
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Home,Espanyola,0-4 anys,533
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Home,Espanyola,0-4 anys,899
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Home,Espanyola,0-4 anys,586
2018,6,Gràcia,28,Vallcarca i els Penitents,Home,Espanyola,0-4 anys,277
2018,6,Gràcia,29,el Coll,Home,Espanyola,0-4 anys,137
2018,6,Gràcia,30,la Salut,Home,Espanyola,0-4 anys,251
2018,6,Gràcia,31,la Vila de Gràcia,Home,Espanyola,0-4 anys,949
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Home,Espanyola,0-4 anys,639
2018,7,Horta-Guinardó,33,el Baix Guinardó,Home,Espanyola,0-4 anys,408
2018,7,Horta-Guinardó,34,Can Baró,Home,Espanyola,0-4 anys,121
2018,7,Horta-Guinardó,35,el Guinardó,Home,Espanyola,0-4 anys,633
2018,7,Horta-Guinardó,36,la Font d'en Fargues,Home,Espanyola,0-4 anys,171
2018,7,Horta-Guinardó,37,el Carmel,Home,Espanyola,0-4 anys,529
2018,7,Horta-Guinardó,38,la Teixonera,Home,Espanyola,0-4 anys,206
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,Home,Espanyola,0-4 anys,117
2018,7,Horta-Guinardó,40,Montbau,Home,Espanyola,0-4 anys,75
2018,7,Horta-Guinardó,41,la Vall d'Hebron,Home,Espanyola,0-4 anys,106
2018,7,Horta-Guinardó,42,la Clota,Home,Espanyola,0-4 anys,31
2018,7,Horta-Guinardó,43,Horta,Home,Espanyola,0-4 anys,461
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Home,Espanyola,0-4 anys,399
2018,8,Nou Barris,45,Porta,Home,Espanyola,0-4 anys,417
2018,8,Nou Barris,46,el Turó de la Peira,Home,Espanyola,0-4 anys,257
2018,8,Nou Barris,47,Can Peguera,Home,Espanyola,0-4 anys,30
2018,8,Nou Barris,48,la Guineueta,Home,Espanyola,0-4 anys,260
2018,8,Nou Barris,49,Canyelles,Home,Espanyola,0-4 anys,133
2018,8,Nou Barris,50,les Roquetes,Home,Espanyola,0-4 anys,268
2018,8,Nou Barris,51,Verdun,Home,Espanyola,0-4 anys,189
2018,8,Nou Barris,52,la Prosperitat,Home,Espanyola,0-4 anys,435
2018,8,Nou Barris,53,la Trinitat Nova,Home,Espanyola,0-4 anys,116
2018,8,Nou Barris,54,Torre Baró,Home,Espanyola,0-4 anys,75
2018,8,Nou Barris,55,Ciutat Meridiana,Home,Espanyola,0-4 anys,162
2018,8,Nou Barris,56,Vallbona,Home,Espanyola,0-4 anys,30
2018,9,Sant Andreu,57,la Trinitat Vella,Home,Espanyola,0-4 anys,180
2018,9,Sant Andreu,58,Baró de Viver,Home,Espanyola,0-4 anys,50
2018,9,Sant Andreu,59,el Bon Pastor,Home,Espanyola,0-4 anys,284
2018,9,Sant Andreu,60,Sant Andreu,Home,Espanyola,0-4 anys,1192
2018,9,Sant Andreu,61,la Sagrera,Home,Espanyola,0-4 anys,568
2018,9,Sant Andreu,62,el Congrés i els Indians,Home,Espanyola,0-4 anys,280
2018,9,Sant Andreu,63,Navas,Home,Espanyola,0-4 anys,393
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,Home,Espanyola,0-4 anys,571
2018,10,Sant Martí,65,el Clot,Home,Espanyola,0-4 anys,448
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Home,Espanyola,0-4 anys,304
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,Home,Espanyola,0-4 anys,176
2018,10,Sant Martí,68,el Poblenou,Home,Espanyola,0-4 anys,756
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Home,Espanyola,0-4 anys,375
2018,10,Sant Martí,70,el Besòs i el Maresme,Home,Espanyola,0-4 anys,348
2018,10,Sant Martí,71,Provençals del Poblenou,Home,Espanyola,0-4 anys,423
2018,10,Sant Martí,72,Sant Martí de Provençals,Home,Espanyola,0-4 anys,424
2018,10,Sant Martí,73,la Verneda i la Pau,Home,Espanyola,0-4 anys,471
2018,1,Ciutat Vella,1,el Raval,Home,Espanyola,5-9 anys,643
2018,1,Ciutat Vella,2,el Barri Gòtic,Home,Espanyola,5-9 anys,157
2018,1,Ciutat Vella,3,la Barceloneta,Home,Espanyola,5-9 anys,157
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,Espanyola,5-9 anys,253
2018,2,Eixample,5,el Fort Pienc,Home,Espanyola,5-9 anys,534
2018,2,Eixample,6,la Sagrada Família,Home,Espanyola,5-9 anys,775
